Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-03-11,Monday,Win,18060.75,18035.5,18241.75,17930.0,25.25,2525.0,0.2525,00:50:00,18069.0,Above Opening High,00:55:00,18071.5,Above Opening High,0.9470034399111928,1.7275,0.933298614442145,1.7025,Crossed Below Opening Low,04:30:00,18048.75
2024-03-12,Tuesday,Win,18238.0,18224.5,18256.5,18033.25,13.5,1350.0,0.135,20:35:00,18223.0,Below Opening Low,20:40:00,18212.0,Below Opening Low,1.052222977000818,1.8975,0.9912245435514953,1.7875,Crossed Above Opening High,03:00:00,18246.0
2024-03-13,Wednesday,Win,18126.25,18105.0,18177.75,17915.5,21.25,2125.0,0.2125,21:55:00,18129.0,Above Opening High,21:55:00,18129.0,Above Opening High,0.2681850063951809,0.4875,0.2681850063951809,0.4875,Crossed Below Opening Low,08:30:00,18117.75
2024-03-14,Thursday,Win,18008.75,17977.5,18074.75,17831.75,31.25,3125.0,0.3125,20:50:00,18014.25,Above Opening High,21:00:00,18016.0,Above Opening High,0.3347210888117401,0.605,0.32503907384611125,0.5875,Crossed Below Opening Low,00:35:00,17972.75
2024-03-17,Sunday,Loss,18088.5,18063.5,18381.0,18071.75,25.0,2500.0,0.25,20:55:00,18089.75,Above Opening High,21:10:00,18098.75,Above Opening High,1.5845166204232632,2.9125,1.5355530167020293,2.8225,Not Crossed,N/A,N/A
2024-03-18,Monday,Win,18196.25,18175.75,18289.25,18053.25,20.5,2050.0,0.205,20:45:00,18169.25,Below Opening Low,20:50:00,18164.25,Below Opening Low,0.6425435863348704,1.16,0.6148477420962984,1.11,Crossed Above Opening High,23:00:00,18193.5
2024-03-19,Tuesday,Win,18281.25,18246.75,18527.0,18227.5,34.5,3450.0,0.345,21:10:00,18244.5,Below Opening Low,21:35:00,18236.5,Below Opening Low,0.09326567000411466,0.17,0.04937594294335482,0.09,Crossed Above Opening High,06:30:00,18285.75
2024-03-20,Wednesday,Win,18584.75,18569.0,18709.0,18552.5,15.75,1575.0,0.1575,20:35:00,18565.0,Below Opening Low,20:40:00,18565.25,Below Opening Low,0.06737636437137852,0.125,0.06872389165880609,0.1275,Crossed Above Opening High,22:25:00,18584.5
2024-03-21,Thursday,Win,18595.0,18584.0,18626.0,18492.0,11.0,1100.0,0.11,20:40:00,18583.0,Below Opening Low,20:45:00,18583.25,Below Opening Low,0.49210469392169587,0.91,0.49345662989400824,0.9125,Crossed Above Opening High,21:05:00,18593.75
2024-03-24,Sunday,Win,18597.5,18571.75,18601.25,18414.75,25.75,2575.0,0.2575,21:35:00,18597.75,Above Opening High,00:20:00,18569.25,Below Opening Low,0.018815939788992677,0.035,0.8390013440312794,1.545,Crossed Below Opening Low,22:15:00,18571.25
2024-03-25,Monday,Win,18547.25,18532.25,18619.0,18439.25,15.0,1500.0,0.15,20:45:00,18548.5,Above Opening High,21:05:00,18551.5,Above Opening High,0.37864546968150814,0.705,0.3625328965035716,0.675,Crossed Below Opening Low,23:35:00,18531.75
2024-03-26,Tuesday,Win,18493.25,18483.0,18571.75,18378.5,10.25,1025.0,0.1025,21:35:00,18482.5,Below Opening Low,22:30:00,18495.75,Above Opening High,0.5658786081562696,1.04,0.409223686513118,0.76,Crossed Above Opening High,20:45:00,18492.5
2024-03-27,Wednesday,Win,18503.75,18474.75,18538.75,18447.5,29.0,2900.0,0.29,01:00:00,18507.5,Above Opening High,01:05:00,18505.5,Above Opening High,0.16856584181781403,0.3125,0.17935405569415414,0.3325,Crossed Below Opening Low,05:15:00,18473.0
2024-03-31,Sunday,Loss,18612.0,18590.0,18607.0,18414.5,22.0,2200.0,0.22,21:35:00,18586.5,Below Opening Low,21:40:00,18586.5,Below Opening Low,0.9340465394118764,1.72,0.9340465394118764,1.72,Not Crossed,N/A,N/A
2024-04-01,Monday,Win,18481.0,18458.0,18511.0,18201.5,23.0,2300.0,0.23,22:30:00,18481.5,Above Opening High,22:55:00,18487.0,Above Opening High,0.15936470206904002,0.295,0.1296526389714224,0.24,Crossed Below Opening Low,21:10:00,18461.0
2024-04-02,Tuesday,Win,18333.25,18300.5,18451.75,18232.5,32.75,3275.0,0.3275,21:15:00,18295.25,Below Opening Low,22:15:00,18299.0,Below Opening Low,0.34416563828328534,0.6275,0.3647333059097765,0.665,Crossed Above Opening High,10:00:00,18352.25
2024-04-03,Wednesday,Win,18485.0,18416.5,18568.0,18069.25,68.5,6850.0,0.685,03:05:00,18413.25,Below Opening Low,08:45:00,18512.25,Above Opening High,1.9037868201502555,3.44,0.3002477380439466,0.5575,Crossed Above Opening High,08:35:00,18486.0
2024-04-04,Thursday,Win,18110.0,18084.0,18408.25,18051.5,26.0,2600.0,0.26,20:35:00,18078.25,Below Opening Low,20:45:00,18081.5,Below Opening Low,0.1481871312633299,0.2675,0.1661911752485943,0.3,Crossed Above Opening High,23:55:00,18110.75
2024-04-07,Sunday,Win,18325.5,18283.75,18376.0,18237.5,41.75,4175.0,0.4175,21:40:00,18332.0,Above Opening High,03:50:00,18338.25,Above Opening High,0.239442751414889,0.44,0.2054309969525468,0.3775,Crossed Below Opening Low,20:30:00,18288.75
2024-04-08,Monday,Win,18313.75,18291.75,18407.25,18160.75,22.0,2200.0,0.22,21:55:00,18287.5,Below Opening Low,22:05:00,18288.75,Below Opening Low,0.6979337307104607,1.2675,0.7048167063584929,1.28,Crossed Above Opening High,00:35:00,18311.5
2024-04-09,Tuesday,Win,18380.75,18366.75,18474.25,18053.5,14.0,1400.0,0.14,20:50:00,18381.0,Above Opening High,23:20:00,18382.25,Above Opening High,0.5047566207017876,0.9325,0.4979904461615492,0.92,Crossed Below Opening Low,05:50:00,18366.5
2024-04-10,Wednesday,Win,18176.75,18147.75,18518.75,18088.0,29.0,2900.0,0.29,21:50:00,18180.75,Above Opening High,22:00:00,18179.0,Above Opening High,1.8251771852851837,3.38,1.8346270671616605,3.3975,Crossed Below Opening Low,05:20:00,18157.0
2024-04-11,Thursday,Win,18495.75,18473.0,18507.75,18120.25,22.75,2275.0,0.2275,20:40:00,18497.0,Above Opening High,02:45:00,18502.5,Above Opening High,0.05808377571557861,0.1075,0.028366495116910483,0.0525,Crossed Below Opening Low,03:25:00,18480.0
2024-04-14,Sunday,Win,18255.0,18192.5,18350.75,17841.5,62.5,6250.0,0.625,01:00:00,18258.25,Above Opening High,02:25:00,18269.25,Above Opening High,0.504066591283735,0.925,0.44412353718512865,0.815,Crossed Below Opening Low,10:10:00,18230.0
2024-04-15,Monday,Win,17893.75,17863.25,17988.0,17792.0,30.5,3050.0,0.305,22:00:00,17861.5,Below Opening Low,22:30:00,17840.25,Below Opening Low,0.390625,0.695,0.2711892985611511,0.4825,Crossed Above Opening High,07:30:00,17891.0
2024-04-16,Tuesday,Win,17940.0,17892.25,17968.5,17620.25,47.75,4775.0,0.4775,01:40:00,17885.25,Below Opening Low,01:45:00,17877.0,Below Opening Low,1.503951419531505,2.65,1.4571302904328827,2.5675,Crossed Above Opening High,06:30:00,17933.25
2024-04-17,Wednesday,Win,17700.5,17678.5,17770.75,17506.25,22.0,2200.0,0.22,21:15:00,17702.5,Above Opening High,22:00:00,17704.5,Above Opening High,0.3840580729569658,0.6825,0.37280362393258587,0.6625,Crossed Below Opening Low,05:30:00,17677.75
2024-04-18,Thursday,Win,17517.25,17437.75,17553.25,17113.25,79.5,7950.0,0.795,20:55:00,17437.5,Below Opening Low,21:05:00,17396.5,Below Opening Low,1.8947306911311412,3.2425,1.6551502490760084,2.8325,Crossed Above Opening High,08:10:00,17516.5
2024-04-21,Sunday,Win,17273.0,17249.25,17448.0,17148.5,23.75,2375.0,0.2375,20:35:00,17229.75,Below Opening Low,20:40:00,17216.75,Below Opening Low,0.47380237338542724,0.8125,0.39799399364375887,0.6825,Crossed Above Opening High,01:40:00,17269.5
2024-04-22,Monday,Win,17338.5,17316.0,17661.0,17291.5,22.5,2250.0,0.225,21:40:00,17315.75,Below Opening Low,21:50:00,17295.0,Below Opening Low,0.140242315588584,0.2425,0.020241158950929646,0.035,Crossed Above Opening High,00:10:00,17341.0
2024-04-23,Tuesday,Win,17717.25,17681.25,17795.5,17567.25,36.0,3600.0,0.36,21:15:00,17722.0,Above Opening High,21:20:00,17722.25,Above Opening High,0.41302576494057486,0.735,0.41162091539996065,0.7325,Crossed Below Opening Low,05:45:00,17679.25
2024-04-24,Wednesday,Win,17484.25,17447.25,17788.0,17308.25,37.0,3700.0,0.37,20:45:00,17488.0,Above Opening High,20:50:00,17486.25,Above Opening High,1.6865302451090622,3.0,1.696368338205532,3.0175,Crossed Below Opening Low,01:00:00,17443.25
2024-04-25,Thursday,Win,17767.5,17742.25,17901.5,17668.25,25.25,2525.0,0.2525,21:30:00,17771.0,Above Opening High,21:35:00,17776.0,Above Opening High,0.7289891908499287,1.305,0.7010585705108511,1.255,Crossed Below Opening Low,03:05:00,17741.75
