Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),First Candle Cross Opposite Side Condition,First Candle Cross Opposite Side Time,First Candle Cross Opposite Side Price
2024-07-08,Monday,Win,20748.75,20718.25,20771.75,20616.0,30.5,122.0,7.625,21:45:00,20711.25,Below Opening Low,22:00:00,20709.5,Below Opening Low,0.46201979045401625,23.8125,0.4535312378734963,23.375,Crossed Above Opening High,09:30:00,20743.75
2024-07-09,Tuesday,Loss,20710.5,20694.75,20917.5,20696.0,15.75,63.0,3.9375,22:45:00,20710.75,Above Opening High,23:15:00,20714.25,Above Opening High,0.9884068363810207,51.6875,0.9716744352814629,50.8125,Not Crossed,N/A,N/A
2024-07-10,Wednesday,Win,20884.5,20867.0,20983.5,20376.25,17.5,70.0,4.375,20:45:00,20862.5,Below Opening Low,21:00:00,20857.5,Below Opening Low,2.3863566652352617,121.5625,2.3618182933562357,120.3125,Crossed Above Opening High,00:15:00,20880.75
2024-07-11,Thursday,Win,20455.0,20403.5,20741.0,20332.25,51.5,206.0,12.875,00:45:00,20395.75,Below Opening Low,01:00:00,20380.75,Below Opening Low,0.3123117215261469,15.875,0.23853729911839566,12.125,Crossed Above Opening High,08:45:00,20446.25
2024-07-14,Sunday,Win,20577.75,20541.5,20796.5,20506.25,36.25,145.0,9.0625,23:15:00,20578.0,Above Opening High,00:45:00,20589.0,Above Opening High,1.0506575625706247,54.625,0.9977640468348039,51.875,Crossed Below Opening Low,15:45:00,20593.25
2024-07-15,Monday,Win,20643.5,20618.75,20684.0,20464.0,24.75,99.0,6.1875,22:00:00,20649.0,Above Opening High,22:45:00,20653.75,Above Opening High,0.1692129181976407,8.75,0.14624830787081802,7.5625,Crossed Below Opening Low,20:30:00,20620.5
2024-07-16,Tuesday,Win,20579.25,20557.5,20579.25,19965.75,21.75,87.0,5.4375,21:00:00,20555.75,Below Opening Low,22:00:00,20552.25,Below Opening Low,2.955060541176765,147.5,2.937530521017242,146.625,Crossed Above Opening High,20:30:00,20577.25
2024-07-17,Wednesday,Win,20072.0,20053.0,20162.75,19758.75,19.0,76.0,4.75,23:15:00,20049.25,Below Opening Low,23:30:00,20041.75,Below Opening Low,1.4702347061428482,72.625,1.4322768393749605,70.75,Crossed Above Opening High,20:30:00,20071.0
2024-07-18,Thursday,Win,19965.75,19935.25,19979.5,19654.0,30.5,122.0,7.625,02:00:00,19975.75,Above Opening High,03:00:00,19859.5,Below Opening Low,0.018769238469431165,0.9375,1.0455886842373054,51.375,Crossed Below Opening Low,02:45:00,19907.25
2024-07-21,Sunday,Win,19837.25,19766.5,20044.25,19718.75,70.75,283.0,17.6875,21:45:00,19745.25,Below Opening Low,22:00:00,19742.25,Below Opening Low,0.13438985736925513,6.625,0.11917591125198097,5.875,Crossed Above Opening High,03:45:00,19823.5
2024-07-22,Monday,Win,19976.75,19926.75,20085.0,19868.25,50.0,200.0,12.5,23:30:00,19922.75,Below Opening Low,02:15:00,19905.75,Below Opening Low,0.27430699734501024,13.625,0.18874334679702542,9.375,Crossed Above Opening High,06:15:00,19982.0
2024-07-23,Tuesday,Win,19834.75,19792.0,19838.0,19166.5,42.75,171.0,10.6875,00:00:00,19768.75,Below Opening Low,00:15:00,19733.5,Below Opening Low,3.1422012365324914,150.5625,2.9582865937964677,141.75,Crossed Above Opening High,20:30:00,19833.25
2024-07-24,Wednesday,Win,19302.0,19203.25,19390.5,18883.5,98.75,395.0,24.6875,02:00:00,19156.0,Below Opening Low,04:00:00,19132.5,Below Opening Low,1.4430587549977494,68.125,1.3186114862181268,62.25,Crossed Above Opening High,21:00:00,19291.0
2024-07-25,Thursday,Loss,19063.75,19015.25,19299.0,19037.75,48.5,194.0,12.125,21:30:00,19078.0,Above Opening High,21:45:00,19080.75,Above Opening High,1.145137053733354,55.25,1.130887610757034,54.5625,Not Crossed,N/A,N/A
2024-07-28,Sunday,Win,19308.25,19235.5,19377.25,19113.0,72.75,291.0,18.1875,23:30:00,19310.25,Above Opening High,01:30:00,19323.25,Above Opening High,0.34576629810731657,16.75,0.2786773148924641,13.5,Crossed Below Opening Low,03:30:00,19233.25
