Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-05-08,Wednesday,Loss,5212.0,5207.25,5218.0,5188.75,4.75,19.0,1.1875,20:37:00,5270.75,Below Opening Low,21:06:00,5322.25,Above Opening High,1.0399693280935494,13.5625,0.5068447728672256,6.6875,2024-05-21,04:41:00,Crossed Below Opening Range Low,5330.25,,
2024-05-09,Thursday,Win,5245.75,5242.5,5245.75,5195.0,3.25,13.0,0.8125,20:38:00,5337.25,Below Opening Low,20:38:00,5333.0,Above Opening High,1.3482079278423926,17.75,0.28539346870029003,3.8125,2024-05-21,21:49:00,,,Crossed Above Opening Range High,5348.0
2024-05-12,Sunday,Loss,5244.75,5241.25,5250.0,5242.0,3.5,14.0,0.875,20:52:00,5321.5,Above Opening High,21:29:00,5345.5,Below Opening Low,0.5141147878108057,6.875,0.4321277595115077,5.75,2024-05-22,21:27:00,,,Crossed Above Opening Range High,5342.0
2024-05-13,Monday,Win,5246.0,5243.75,5264.0,5233.25,2.25,9.0,0.5625,20:36:00,5333.0,Above Opening High,20:44:00,5339.0,Below Opening Low,0.2851399990651148,3.8125,0.6077165873651482,8.0625,2024-05-24,03:16:00,Crossed Below Opening Range Low,5286.0,,
2024-05-14,Tuesday,Loss,5273.5,5271.25,5277.75,5216.5,2.25,9.0,0.5625,21:28:00,5345.5,Below Opening Low,20:41:00,5291.5,Above Opening High,0.4321277595115077,5.75,1.43471352462847,19.1875,2024-05-26,22:31:00,Crossed Below Opening Range Low,5314.0,,
2024-05-15,Wednesday,Loss,5341.0,5337.5,5343.5,5266.25,3.5,14.0,0.875,20:41:00,5339.25,Below Opening Low,21:46:00,5318.75,Above Opening High,0.6124275686625524,8.125,0.004662222015012355,0.0625,2024-05-28,09:45:00,Crossed Below Opening Range Low,5322.25,,
2024-05-16,Thursday,Loss,5321.25,5318.5,5349.0,5317.25,2.75,11.0,0.6875,20:38:00,5291.75,Above Opening High,23:13:00,5329.0,Above Opening High,1.42504540585852,19.125,0.10711125599590184,1.4375,2024-05-30,08:30:00,,,Crossed Above Opening Range High,5269.75
2024-05-19,Sunday,Loss,5336.25,5332.25,5336.5,5332.5,4.0,16.0,1.0,21:42:00,5318.25,Above Opening High,20:38:00,5316.5,Below Opening Low,0.014100394811054712,0.1875,0.36813290541816124,4.875,2024-05-30,23:31:00,,,Crossed Above Opening Range High,5247.0
2024-05-20,Monday,Win,5332.75,5330.25,5348.25,5323.75,2.5,10.0,0.625,23:12:00,5328.75,Above Opening High,22:39:00,5261.75,Below Opening Low,0.1124701251230142,1.5,0.10939878234398781,1.4375,2024-06-03,23:27:00,Crossed Below Opening Range Low,5296.0,,
2024-05-21,Tuesday,Win,5348.0,5345.75,5349.5,5322.5,2.25,9.0,0.5625,20:35:00,5317.0,Below Opening Low,20:49:00,5234.75,Below Opening Low,0.37757221068529356,5.0,0.009552466924583274,0.125,2024-06-04,21:47:00,,,Crossed Above Opening Range High,5312.0
2024-05-22,Wednesday,Win,5342.0,5339.5,5362.25,5306.75,2.5,10.0,0.625,22:36:00,5262.0,Below Opening Low,21:21:00,5308.25,Below Opening Low,0.1141552511415525,1.5,0.8789433675408589,11.5625,2024-06-05,21:50:00,,,Crossed Above Opening Range High,5371.5
2024-05-23,Thursday,Loss,5291.0,5286.25,5368.25,5273.75,4.75,19.0,1.1875,20:43:00,5235.0,Below Opening Low,20:38:00,5364.5,Below Opening Low,0.01432870038687491,0.1875,1.1311150909605052,15.0,2024-06-07,04:53:00,Crossed Below Opening Range Low,5363.25,,
2024-05-26,Sunday,Win,5318.0,5314.75,5319.0,5312.75,3.25,13.0,0.8125,20:34:00,5303.0,Above Opening High,21:02:00,5365.5,Above Opening High,0.22577610536218248,3.0,0.1458137347130762,1.9375,2024-06-10,02:06:00,Crossed Below Opening Range Low,5351.5,,
2024-05-27,Monday,Win,5328.25,5323.0,5334.75,5316.25,5.25,21.0,1.3125,21:20:00,5308.5,Below Opening Low,23:11:00,5357.75,Above Opening High,0.8836944127708095,11.625,0.02351945058563432,0.3125,2024-06-11,01:13:00,,,Crossed Above Opening Range High,5367.5
2024-05-28,Tuesday,Win,5322.0,5317.25,5339.0,5297.0,4.75,19.0,1.1875,20:35:00,5365.5,Below Opening Low,21:17:00,5363.5,Below Opening Low,1.1499670091431804,15.25,0.4682963379226374,6.25,2024-06-11,23:31:00,,,Crossed Above Opening Range High,5387.25
2024-05-29,Wednesday,Win,5267.5,5262.25,5310.5,5256.0,5.25,21.0,1.3125,20:47:00,5365.5,Above Opening High,20:33:00,5382.25,Below Opening Low,0.14423300609500767,1.9375,0.8998453390823452,12.0,2024-06-13,04:45:00,Crossed Below Opening Range Low,5434.25,,
2024-05-30,Thursday,Win,5246.25,5235.25,5276.75,5234.25,11.0,44.0,2.75,23:11:00,5357.75,Above Opening High,21:12:00,5439.0,Above Opening High,0.023325247247620827,0.3125,0.2938981153200224,3.9375,2024-06-14,02:45:00,Crossed Below Opening Range Low,5436.75,,
2024-06-02,Sunday,Loss,5311.0,5299.0,5310.75,5302.5,12.0,48.0,3.0,20:32:00,5364.0,Below Opening Low,21:52:00,5439.5,Above Opening High,0.4776622646810902,6.375,0.24183796856106407,3.25,2024-06-16,21:00:00,Crossed Below Opening Range Low,5435.25,,
2024-06-03,Monday,Win,5302.75,5296.5,5315.0,5248.0,6.25,25.0,1.5625,20:33:00,5382.25,Below Opening Low,21:01:00,5435.0,Below Opening Low,0.8998453390823452,12.0,0.04601932811780948,0.625,2024-06-18,09:34:00,,,Crossed Above Opening Range High,5554.25
2024-06-04,Tuesday,Win,5312.0,5309.0,5314.75,5262.0,3.0,12.0,0.75,21:04:00,5438.75,Above Opening High,21:07:00,5478.75,Below Opening Low,0.29332233374581784,4.0,0.9954375777685608,13.5,2024-06-20,10:11:00,Crossed Below Opening Range Low,5562.0,,
2024-06-05,Wednesday,Loss,5370.5,5365.75,5372.75,5304.5,4.75,19.0,1.1875,21:51:00,5439.5,Above Opening High,20:39:00,5565.0,Above Opening High,0.2384227418615314,3.25,0.11462631820265932,1.5625,2024-06-21,00:48:00,,,Crossed Above Opening Range High,5547.75
2024-06-06,Thursday,Loss,5365.25,5363.25,5373.25,5345.25,2.0,8.0,0.5,20:35:00,5438.5,Above Opening High,20:40:00,5543.0,Below Opening Low,0.0,0.0,0.3167134196000362,4.375,2024-06-24,03:43:00,,,Crossed Above Opening Range High,5540.0
2024-06-09,Sunday,Win,5357.0,5351.5,5359.0,5352.0,5.5,22.0,1.375,20:33:00,5480.75,Below Opening Low,21:08:00,5533.5,Below Opening Low,1.0323056362044334,14.0,0.24456521739130438,3.375,2024-06-24,22:10:00,,,Crossed Above Opening Range High,5519.75
2024-06-10,Monday,Win,5367.5,5364.25,5375.5,5338.5,3.25,13.0,0.8125,20:39:00,5565.0,Above Opening High,20:59:00,5516.0,Below Opening Low,0.1121830827911151,1.5625,0.058954242437984666,0.8125,2024-06-26,07:33:00,Crossed Below Opening Range Low,5532.75,,
2024-06-11,Tuesday,Win,5387.25,5383.0,5387.5,5334.25,4.25,17.0,1.0625,20:39:00,5543.0,Below Opening Low,20:52:00,5537.5,Above Opening High,0.3167134196000362,4.375,0.07605923672318912,1.0625,2024-06-26,22:04:00,,,Crossed Above Opening Range High,5526.25
