Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,20:39:00,Below Low,2187.699951171875,2190.60009765625,2187.800048828125,2192.199951171875,2180.89990234375,,,,,
2024-03-12,Tuesday,20:36:00,Above High,2165.89990234375,2165.5,2161.300048828125,2187.800048828125,2156.199951171875,,,,,
2024-03-13,Wednesday,20:56:00,Above High,2180.800048828125,2180.39990234375,2178.300048828125,2185.60009765625,2162.300048828125,21:36:00,Crossed Below Low,2178.199951171875,,
2024-03-14,Thursday,20:40:00,Above High,2166.10009765625,2166.0,2164.39990234375,2176.699951171875,2158.89990234375,,,,,
2024-03-17,Sunday,20:54:00,Above High,2160.300048828125,2160.199951171875,2157.60009765625,2160.800048828125,2149.300048828125,21:07:00,Crossed Below Low,2157.300048828125,,
2024-03-18,Monday,21:09:00,Below Low,2163.699951171875,2166.199951171875,2164.0,2167.199951171875,2149.199951171875,,,,,
2024-03-19,Tuesday,20:39:00,Below Low,2158.199951171875,2161.10009765625,2158.300048828125,2165.5,2150.199951171875,21:15:00,,,Crossed Above High,2161.10009765625
2024-03-20,Wednesday,20:36:00,Below Low,2198.0,2208.199951171875,2198.10009765625,2214.699951171875,2152.300048828125,21:11:00,,,Crossed Above High,2212.10009765625
2024-03-21,Thursday,20:34:00,Above High,2186.800048828125,2186.39990234375,2182.800048828125,2214.10009765625,2168.199951171875,21:36:00,Crossed Below Low,2182.10009765625,,
2024-03-24,Sunday,21:16:00,Above High,2171.89990234375,2170.5,2165.199951171875,2179.5,2165.0,,,,,
2024-03-25,Monday,20:35:00,Above High,2174.39990234375,2174.300048828125,2171.89990234375,2182.5,2164.39990234375,03:05:00,Crossed Below Low,2164.89990234375,,
2024-03-25,Monday,20:35:00,Above High,2174.39990234375,2174.300048828125,2171.89990234375,2182.5,2164.39990234375,21:06:00,Crossed Below Low,2171.89990234375,,
2024-03-26,Tuesday,20:33:00,Below Low,2175.89990234375,2178.699951171875,2176.199951171875,2200.60009765625,2169.89990234375,21:05:00,,,Crossed Above High,2178.699951171875
2024-03-27,Wednesday,22:20:00,Above High,2213.0,2212.60009765625,2187.39990234375,2218.300048828125,2174.5,,,,,
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,20:31:00,Above High,2272.60009765625,2271.199951171875,2260.300048828125,2285.89990234375,2269.60009765625,,,,,
2024-04-01,Monday,20:34:00,Above High,2272.60009765625,2272.39990234375,2268.199951171875,2286.39990234375,2249.10009765625,10:01:00,Crossed Below Low,2260.0,,
2024-04-01,Monday,20:34:00,Above High,2272.60009765625,2272.39990234375,2268.199951171875,2286.39990234375,2249.10009765625,21:06:00,Crossed Below Low,2267.89990234375,,
2024-04-02,Tuesday,21:12:00,Below Low,2297.89990234375,2305.800048828125,2298.10009765625,2308.300048828125,2270.39990234375,23:13:00,,,Crossed Above High,2306.0
2024-04-03,Wednesday,20:56:00,Above High,2322.0,2320.800048828125,2316.199951171875,2324.800048828125,2285.699951171875,,,,,
2024-04-04,Thursday,20:40:00,Below Low,2302.300048828125,2309.89990234375,2302.5,2325.300048828125,2286.199951171875,01:54:00,Crossed Below Low,2316.10009765625,,
2024-04-07,Sunday,20:59:00,Below Low,2325.10009765625,2332.39990234375,2325.300048828125,2372.5,2321.699951171875,21:29:00,,,Crossed Above High,2332.699951171875
2024-04-08,Monday,21:13:00,Above High,2363.300048828125,2360.5,2356.5,2367.5,2336.800048828125,,,,,
2024-04-09,Tuesday,20:45:00,Below Low,2370.5,2374.300048828125,2370.699951171875,2384.5,2357.0,,,,,
2024-04-10,Wednesday,21:06:00,Above High,2354.800048828125,2354.5,2350.60009765625,2378.10009765625,2337.10009765625,00:56:00,,,Crossed Above High,2374.5
2024-04-11,Thursday,20:51:00,Above High,2395.800048828125,2394.800048828125,2392.10009765625,2412.800048828125,2343.10009765625,04:14:00,Crossed Below Low,2349.5,,
2024-04-14,Sunday,20:31:00,Below Low,2371.89990234375,2382.39990234375,2372.800048828125,2381.0,2364.199951171875,,,,,
2024-04-15,Monday,20:38:00,Above High,2403.39990234375,2402.89990234375,2396.60009765625,2405.89990234375,2340.199951171875,13:29:00,,,Crossed Above High,2383.39990234375
2024-04-16,Tuesday,22:18:00,Above High,2401.60009765625,2401.39990234375,2397.199951171875,2414.800048828125,2379.199951171875,02:31:00,Crossed Below Low,2393.60009765625,,
2024-04-16,Tuesday,22:18:00,Above High,2401.60009765625,2401.39990234375,2397.199951171875,2414.800048828125,2379.199951171875,23:28:00,Crossed Below Low,2397.199951171875,,
2024-04-17,Wednesday,21:00:00,Above High,2385.199951171875,2384.89990234375,2380.39990234375,2412.0,2378.699951171875,21:31:00,Crossed Below Low,2380.10009765625,,
2024-04-18,Thursday,21:03:00,Above High,2397.60009765625,2396.39990234375,2388.5,2433.300048828125,2384.300048828125,,,,,
2024-04-21,Sunday,20:42:00,Below Low,2396.5,2402.0,2397.0,2398.699951171875,2374.0,,,,,
2024-04-22,Monday,20:31:00,Below Low,2344.10009765625,2347.60009765625,2344.300048828125,2386.699951171875,2308.699951171875,21:17:00,,,Crossed Above High,2347.699951171875
2024-04-23,Tuesday,20:38:00,Below Low,2335.0,2337.89990234375,2335.199951171875,2345.800048828125,2304.60009765625,23:20:00,,,Crossed Above High,2338.39990234375
2024-04-24,Wednesday,20:41:00,Above High,2330.5,2330.39990234375,2327.39990234375,2350.89990234375,2316.39990234375,23:10:00,Crossed Below Low,2327.10009765625,,
2024-04-25,Thursday,20:31:00,Below Low,2341.10009765625,2343.699951171875,2341.300048828125,2357.60009765625,2323.800048828125,21:35:00,,,Crossed Above High,2344.10009765625
2024-04-28,Sunday,20:37:00,Below Low,2345.0,2348.39990234375,2345.300048828125,2346.5,2331.0,,,,,
2024-04-29,Monday,20:36:00,Above High,2345.699951171875,2345.60009765625,2343.10009765625,2358.89990234375,2336.800048828125,03:41:00,,,Crossed Above High,2349.10009765625
2024-04-29,Monday,20:36:00,Above High,2345.699951171875,2345.60009765625,2343.10009765625,2358.89990234375,2336.800048828125,22:10:00,Crossed Below Low,2343.0,,
2024-04-30,Tuesday,20:44:00,Below Low,2298.39990234375,2304.0,2298.5,2340.800048828125,2292.800048828125,,,,,
2024-05-01,Wednesday,21:06:00,Above High,2335.60009765625,2335.39990234375,2330.699951171875,2339.5,2291.699951171875,06:51:00,,,Crossed Above High,2304.300048828125
2024-05-01,Wednesday,21:06:00,Above High,2335.60009765625,2335.39990234375,2330.699951171875,2339.5,2291.699951171875,22:33:00,Crossed Below Low,2330.699951171875,,
2024-05-02,Thursday,21:05:00,Above High,2314.60009765625,2314.0,2309.10009765625,2330.300048828125,2294.300048828125,22:21:00,Crossed Below Low,2308.89990234375,,
2024-05-05,Sunday,21:01:00,Above High,2310.39990234375,2309.699951171875,2300.60009765625,2324.5,2301.10009765625,,,,,
2024-05-06,Monday,20:54:00,Above High,2337.300048828125,2337.10009765625,2333.0,2339.39990234375,2317.10009765625,21:50:00,Crossed Below Low,2332.5,,
2024-05-07,Tuesday,20:41:00,Below Low,2322.10009765625,2324.39990234375,2322.300048828125,2333.5,2314.10009765625,22:55:00,,,Crossed Above High,2325.10009765625
