Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-03-10,Sunday,23:30:00,Below Low,5123.25,5131.25,5123.5,5133.0,5119.25,,,,,
2024-03-11,Monday,,,,,,,,03:45:00,Crossed Above High,5185.75,,
2024-03-12,Tuesday,21:00:00,Below Low,5238.5,5244.5,5238.75,5246.75,5175.75,,,,,
2024-03-13,Wednesday,,,,,,,,03:00:00,Crossed Above High,5246.25,,
2024-03-14,Thursday,21:30:00,Above High,5218.25,5218.0,5210.0,5253.5,5188.0,,,,,
2024-03-17,Sunday,21:00:00,Above High,5188.25,5187.25,5181.75,5194.75,5183.25,,,,,
2024-03-18,Monday,20:45:00,Below Low,5205.0,5210.75,5206.75,5240.25,5192.0,,,,,
2024-03-19,Tuesday,21:30:00,Below Low,5234.75,5240.75,5236.25,5244.75,5186.0,00:00:00,Crossed Above High,5211.25,,
2024-03-20,Wednesday,22:30:00,Above High,5304.5,5304.0,5299.5,5307.0,5233.0,07:00:00,Crossed Above High,5244.25,,
2024-03-21,Thursday,21:30:00,Below Low,5307.5,5311.0,5308.25,5324.0,5299.25,,,,,
2024-03-24,Sunday,21:00:00,Below Low,5290.75,5294.75,5291.0,5295.0,5287.5,,,,,
2024-03-25,Monday,21:00:00,Above High,5286.75,5286.25,5282.0,5293.0,5272.75,23:30:00,,,Crossed Below Low,5282.0
2024-03-26,Tuesday,21:45:00,Above High,5277.5,5276.5,5274.0,5300.5,5263.0,,,,,
2024-03-27,Wednesday,,,,,,,,11:15:00,,,Crossed Below Low,5273.0
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,22:15:00,Below Low,5326.75,5333.25,5327.0,5330.0,5325.0,,,,,
2024-04-01,Monday,21:15:00,Above High,5291.25,5291.0,5286.25,5330.5,5282.25,,,,,
2024-04-02,Tuesday,21:45:00,Below Low,5251.75,5260.25,5252.75,5296.0,5235.0,03:15:00,,,Crossed Below Low,5285.75
2024-04-03,Wednesday,,,,,,,,10:00:00,Crossed Above High,5273.25,,
2024-04-04,Thursday,,,,,,,,,,,,
2024-04-07,Sunday,23:15:00,Below Low,5248.0,5260.0,5249.0,5258.0,5243.75,,,,,
2024-04-08,Monday,21:45:00,Below Low,5252.25,5257.5,5253.0,5268.75,5236.5,08:45:00,Crossed Above High,5265.0,,
2024-04-09,Tuesday,,,,,,,,01:00:00,Crossed Above High,5258.25,,
2024-04-10,Wednesday,22:00:00,Above High,5203.25,5202.25,5194.25,5287.5,5177.0,,,,,
