Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of Low Range,Break of Low Range Cross Price,Break of High Range,Break of High Range Cross Price
2024-03-11,Monday,21:30:00,Above High,78.1500015258789,78.12999725341797,77.9800033569336,78.47000122070312,76.79000091552734,,,,,
2024-03-12,Tuesday,21:30:00,Above High,78.05000305175781,78.04000091552734,77.91999816894531,78.70999908447266,77.3499984741211,07:30:00,Crossed Below Low,77.94000244140625,,
2024-03-13,Wednesday,20:45:00,Above High,79.80000305175781,79.7699966430664,79.63999938964844,79.93000030517578,77.58000183105469,03:15:00,Crossed Below Low,77.87000274658203,,
2024-03-14,Thursday,21:00:00,Above High,81.12999725341797,81.12000274658203,80.91000366210938,81.62000274658203,79.6500015258789,,,,,
2024-03-17,Sunday,21:30:00,Above High,81.29000091552734,81.19000244140625,81.0,81.41000366210938,80.98999786376953,,,,,
2024-03-18,Monday,20:45:00,Below Low,82.08000183105469,82.2300033569336,82.13999938964844,82.73999786376953,80.72000122070312,08:15:00,Crossed Below Low,80.93000030517578,,
2024-03-19,Tuesday,21:00:00,Above High,82.5199966430664,82.51000213623047,82.36000061035156,83.11000061035156,81.80999755859375,08:00:00,,,Crossed Above High,82.2699966430664
2024-03-20,Wednesday,,,,,,,,03:45:00,Crossed Below Low,82.30000305175781,,
2024-03-21,Thursday,21:00:00,Below Low,80.80000305175781,80.97000122070312,80.81999969482422,81.91000366210938,80.30000305175781,,,,,
2024-03-24,Sunday,21:00:00,Above High,81.01000213623047,80.95999908447266,80.83999633789062,81.27999877929688,80.88999938964844,,,,,
2024-03-25,Monday,21:00:00,Above High,82.18000030517578,82.16999816894531,81.98999786376953,82.47000122070312,80.7300033569336,04:15:00,Crossed Below Low,80.81999969482422,,
2024-03-25,Monday,21:00:00,Above High,82.18000030517578,82.16999816894531,81.98999786376953,82.47000122070312,80.7300033569336,23:00:00,Crossed Below Low,81.91000366210938,,
2024-03-26,Tuesday,21:15:00,Below Low,81.12000274658203,81.31999969482422,81.13999938964844,82.36000061035156,80.80999755859375,,,,,
2024-03-27,Wednesday,20:45:00,Above High,81.83999633789062,81.77999877929688,81.70999908447266,81.97000122070312,80.55000305175781,10:00:00,,,Crossed Above High,81.4000015258789
2024-03-27,Wednesday,20:45:00,Above High,81.83999633789062,81.77999877929688,81.70999908447266,81.97000122070312,80.55000305175781,23:45:00,Crossed Below Low,81.70999908447266,,
2024-03-28,Thursday,,,,,,,,,,,,
2024-03-31,Sunday,20:45:00,Below Low,82.9800033569336,83.19999694824219,83.0199966430664,83.54000091552734,82.97000122070312,21:00:00,,,Crossed Above High,83.20999908447266
2024-04-01,Monday,20:45:00,Above High,84.02999877929688,84.01000213623047,83.86000061035156,84.5,82.61000061035156,,,,,
2024-04-02,Tuesday,20:45:00,Below Low,85.12000274658203,85.5199966430664,85.26000213623047,85.44999694824219,84.05999755859375,,,,,
2024-04-03,Wednesday,20:45:00,Above High,85.75,85.69999694824219,85.52999877929688,86.19999694824219,84.8499984741211,06:30:00,,,Crossed Above High,85.5199966430664
2024-04-04,Thursday,21:15:00,Below Low,86.76000213623047,87.05999755859375,86.86000061035156,87.20999908447266,84.63999938964844,02:30:00,Crossed Below Low,85.5,,
2024-04-07,Sunday,20:45:00,Below Low,85.26000213623047,86.02999877929688,85.33999633789062,85.79000091552734,84.68000030517578,,,,,
2024-04-08,Monday,20:45:00,Above High,86.91999816894531,86.9000015258789,86.62999725341797,87.11000061035156,85.36000061035156,04:00:00,,,Crossed Above High,86.05999755859375
2024-04-08,Monday,20:45:00,Above High,86.91999816894531,86.9000015258789,86.62999725341797,87.11000061035156,85.36000061035156,21:30:00,Crossed Below Low,86.58999633789062,,
2024-04-09,Tuesday,21:00:00,Below Low,85.19000244140625,85.38999938964844,85.19999694824219,86.97000122070312,85.08000183105469,21:45:00,,,Crossed Above High,85.4000015258789
2024-04-10,Wednesday,21:15:00,Above High,86.36000061035156,86.30000305175781,86.13999938964844,86.5,84.54000091552734,,,,,
2024-04-11,Thursday,21:00:00,Above High,85.62999725341797,85.58999633789062,85.4000015258789,86.6500015258789,84.83999633789062,02:45:00,Crossed Below Low,86.12999725341797,,
2024-04-14,Sunday,20:45:00,Below Low,85.4000015258789,85.73999786376953,85.51000213623047,85.73999786376953,84.88999938964844,,,,,
